признак,группа,что считает,в_модели,люди_медиана,пойманные_медиана,непойманные_медиана,люди_среднее,пойманные_среднее,непойманные_среднее,AUC_непойманные_против_людей,AUC_пойманные_против_людей,потеря_AUC,непойманные_ближе,пропусков_доля
item_te_mean,Кодировка объявлений,средняя доля ботов среди зрителей моих объявлений,да,0.0795,0.215,0.0834,0.0869,0.1962,0.1033,0.578,0.9012,0.3232,к людям,0.0156
mean_search_page,Сколько наследил,средняя страница выдачи,да,2.0,3.5909,2.4,2.3148,3.9546,2.6594,0.5765,0.7684,0.1919,к людям,0.083
item_te_max,Кодировка объявлений,максимальная доля ботов среди зрителей,да,0.1403,0.3445,0.152,0.1554,0.3323,0.1793,0.5731,0.8806,0.3075,к людям,0.0156
loc_entropy,Что смотрел,энтропия распределения по городам,да,1.213,1.9915,1.3322,1.2268,1.9573,1.3911,0.5666,0.7768,0.2102,к людям,0.0014
item_seen_once_frac,НОВОЕ: состав действий,"доля объявлений, встреченных ровно раз",нет,0.8,0.7667,0.8421,0.7561,0.7436,0.8041,0.5635,0.4624,-0.1011,к людям,0.0156
dt_repeat_exact_frac,НОВОЕ: форма временной сетки,"доля пауз, в точности равных предыдущей",нет,0.0,0.0,0.0,0.0052,0.0391,0.0152,0.5601,0.6866,0.1264,поровну,0.0574
ptr_y_mean,НОВОЕ: мышь и платформа,средняя координата Y,нет,541.2368,487.2857,574.2667,540.5315,490.4116,551.4215,0.5565,0.4121,-0.1444,к людям,0.6352
n_loc_uniq,Сколько наследил,разных городов,да,5.0,10.0,5.0,5.8819,11.2111,6.461,0.5543,0.7779,0.2236,к людям,0.0
no_mouse_on_desktop,НОВОЕ: мышь и платформа,флаг: сидит на десктопе и мышью не двигает,нет,0.0,0.0,0.0,0.1505,0.4302,0.2454,0.5474,0.6398,0.0924,поровну,0.0
query_top_frac,НОВОЕ: путь по сайту,доля самого частого запроса,нет,0.4,0.4242,0.5,0.481,0.4567,0.5151,0.5464,0.5146,-0.0317,к пойманным ботам,0.083
cat_top_frac,Что смотрел,доля самой частой категории,да,0.6897,0.9189,0.7317,0.7182,0.8341,0.7538,0.5439,0.6397,0.0958,к людям,0.0033
q_repeat_frac,Как искал,доля повторов одного запроса,да,0.0,0.4286,0.1429,0.1592,0.4068,0.1971,0.5435,0.7676,0.224,к людям,0.083
same_event_repeat_frac,НОВОЕ: состав действий,доля повторов того же типа события подряд,нет,0.2286,0.3333,0.25,0.2276,0.3215,0.2548,0.5434,0.6899,0.1465,к людям,0.0
catloc_pairs,НОВОЕ: состав действий,разных пар категория-город,нет,5.0,11.0,6.0,7.2157,12.3508,7.5468,0.5418,0.7408,0.199,к людям,0.0041
page_gt5_frac,Как искал,доля просмотров глубже пятой страницы,да,0.0,0.2,0.0,0.0646,0.216,0.0965,0.5402,0.7398,0.1997,к людям,0.083
max_search_page,Сколько наследил,самая глубокая страница выдачи,да,4.0,8.0,4.0,4.4157,10.9758,5.0288,0.5394,0.7736,0.2342,к людям,0.083
seller_known_frac,Что смотрел,доля событий с заполненным типом продавца,да,0.6133,0.5833,0.6364,0.607,0.5895,0.636,0.5381,0.4468,-0.0913,к людям,0.0
page_std,Как искал,разброс номеров страниц,да,1.3568,2.8284,1.5166,1.5214,3.2213,1.718,0.5373,0.7651,0.2278,к людям,0.2259
view_per_search,Сколько наследил,карточек на один поиск,да,1.0607,1.25,1.1667,1.4431,1.5584,1.6816,0.535,0.5506,0.0156,к пойманным ботам,0.0
ua_fam_avito_app,Чем заходил,флаг мобильного приложения Авито,да,0.0,0.0,0.0,0.1544,0.1921,0.2193,0.5324,0.5188,-0.0136,поровну,0.0
q_len_mean,Как искал,средняя длина запроса в символах,да,13.2,13.25,13.6667,13.2104,13.3656,13.504,0.5324,0.5122,-0.0202,к пойманным ботам,0.083
events_per_active_hour,НОВОЕ: где кука сидит в сутках,событий на один активный час,нет,4.5,9.0,5.0,5.4386,11.6491,5.6623,0.5322,0.7638,0.2316,к людям,0.0
cov_partners,С кем пересекался,сколько кук смотрели те же объявления,да,4.0,17.0,5.0,7.7334,22.373,7.9777,0.5318,0.7429,0.211,к людям,0.0
longest_same_event_run,НОВОЕ: состав действий,самая длинная цепочка одинаковых действий,нет,2.0,4.0,3.0,2.6965,4.027,2.8587,0.5292,0.7288,0.1996,поровну,0.0
max_events_per_minute,НОВОЕ: где кука сидит в сутках,максимум событий за одну минуту,нет,2.0,4.0,3.0,2.5334,5.0317,2.6729,0.5289,0.7688,0.2399,поровну,0.0
cov_weighted_sum,НОВОЕ: граф связей,сумма связей с весом по редкости объявления,нет,2.4184,8.7998,3.0743,4.6316,13.2618,4.7562,0.5273,0.7306,0.2033,к людям,0.0
item_pop_mean,Что смотрел,"средняя популярность объявлений, по прошлым дням",да,0.75,1.5,0.7778,0.8719,1.7856,0.9913,0.527,0.6971,0.17,к людям,0.0156
cov_max_shared,С кем пересекался,максимум общих объявлений с одной кукой,да,1.0,2.0,1.0,0.8859,2.4825,0.948,0.5268,0.7835,0.2566,к людям,0.0
n_items_uniq,Сколько наследил,разных объявлений,да,6.0,13.0,7.0,8.9172,15.8921,8.8327,0.5263,0.7247,0.1984,к людям,0.0
cov_second_order,НОВОЕ: граф связей,"партнёров партнёров, второй круг",нет,20.0,114.0,33.0,71.1278,197.481,73.513,0.5248,0.6832,0.1584,к людям,0.0
window_dow,Сколько наследил,день недели начала окна,да,3.0,3.0,3.0,2.9283,2.9302,3.0929,0.524,0.5006,-0.0234,поровну,0.0
cnt_item_view,Сколько наследил,открытий карточек товара,да,4.0,10.0,5.0,6.1588,15.6698,6.3048,0.5223,0.7548,0.2324,к людям,0.0
sess_events_mean,Как дышал,среднее число событий в сессии,да,5.0,10.0,5.0,5.862,12.7398,5.9288,0.5221,0.792,0.2698,к людям,0.0
n_sellers_uniq,НОВОЕ: состав действий,разных типов продавца,нет,2.0,2.0,2.0,1.7571,1.9524,1.8178,0.5221,0.5864,0.0643,поровну,0.0
dt_min,Сколько наследил,"самая короткая пауза, с",да,5.0,2.0,6.0,59.1862,38.6079,32.5245,0.5211,0.4025,-0.1186,к людям,0.0223
view_after_search_frac,НОВОЕ: путь по сайту,"доля карточек, открытых сразу после выдачи",нет,0.0833,0.2692,0.1111,0.1498,0.2508,0.1642,0.5211,0.6763,0.1552,к людям,0.0657
cov_strong,С кем пересекался,партнёров с двумя и более общими объявлениями,да,0.0,1.0,0.0,0.1194,3.6143,0.1524,0.5197,0.7886,0.2689,к людям,0.0
page_gt10_frac,Как искал,доля просмотров глубже десятой страницы,да,0.0,0.0,0.0,0.0069,0.066,0.0098,0.5184,0.6769,0.1585,поровну,0.083
